date,vehicle_id,vehicle_type,stops_used,opt_km,baseline_alpha_km,savings_vs_alpha_km,savings_vs_alpha_pct,baseline_random_mean_km,baseline_random_p10_km,baseline_random_p90_km,savings_vs_random_mean_km,savings_vs_random_mean_pct,random_iters,random_seed
2025-12-24,7873,UNKNOWN,4,10.374,10.374,0.0,0.0,17.268,15.037,21.76,6.894,39.92,50,42
2025-12-24,7912,UNKNOWN,3,1.588,1.588,0.0,0.0,1.971,1.588,3.169,0.382,19.4,50,42
2025-12-24,7924,UNKNOWN,22,31.987,63.237,31.25,49.42,98.586,85.784,109.752,66.599,67.55,50,42
2025-12-24,8359,UNKNOWN,7,4.829,5.04,0.211,4.19,8.947,6.648,10.406,4.118,46.03,50,42
2025-12-24,8527,UNKNOWN,4,6.705,7.64,0.935,12.24,10.649,6.736,13.866,3.944,37.04,50,42
2025-12-24,9279,UNKNOWN,5,6.583,8.477,1.894,22.34,11.609,8.038,14.068,5.026,43.29,50,42
2025-12-24,9785,UNKNOWN,6,6.645,6.772,0.128,1.88,12.961,9.977,15.49,6.316,48.73,50,42
2025-12-24,9928,UNKNOWN,6,10.658,17.53,6.872,39.2,17.035,11.604,20.349,6.377,37.43,50,42
2025-12-24,9935,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-25,1106,UNKNOWN,2,9.566,9.566,0.0,0.0,9.566,9.566,9.566,0.0,0.0,50,42
2025-12-25,1409,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-25,1434,UNKNOWN,3,3.191,3.519,0.329,9.34,4.199,3.191,5.953,1.009,24.02,50,42
2025-12-25,1488,UNKNOWN,2,0.741,0.741,0.0,0.0,0.741,0.741,0.741,0.0,0.0,50,42
2025-12-25,2424,UNKNOWN,3,0.525,0.525,0.0,0.0,0.538,0.525,0.555,0.013,2.39,50,42
2025-12-25,2674,UNKNOWN,2,1.057,1.057,0.0,0.0,1.057,1.057,1.057,0.0,0.0,50,42
2025-12-25,2679,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-25,2824,UNKNOWN,4,0.751,0.751,0.0,0.0,1.053,0.821,1.343,0.302,28.7,50,42
2025-12-25,3045,UNKNOWN,3,0.452,0.452,0.0,0.0,0.592,0.452,0.745,0.14,23.71,50,42
2025-12-25,3286,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-25,3547,UNKNOWN,2,4.006,4.006,0.0,0.0,4.006,4.006,4.006,0.0,0.0,50,42
2025-12-25,3615,UNKNOWN,7,11.93,12.407,0.478,3.85,19.654,16.383,22.628,7.725,39.3,50,42
2025-12-25,4257,UNKNOWN,7,19.049,28.745,9.696,33.73,32.64,25.786,38.973,13.591,41.64,50,42
2025-12-25,4527,UNKNOWN,3,4.433,4.433,0.0,0.0,6.02,4.433,8.826,1.588,26.37,50,42
2025-12-25,4811,UNKNOWN,2,0.067,0.067,0.0,0.0,0.067,0.067,0.067,0.0,0.0,50,42
2025-12-25,5012,UNKNOWN,2,8.791,8.791,0.0,0.0,8.791,8.791,8.791,0.0,0.0,50,42
2025-12-25,5506,UNKNOWN,2,0.307,0.307,0.0,0.0,0.307,0.307,0.307,0.0,0.0,50,42
2025-12-25,5552,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-25,5803,UNKNOWN,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,50,42
2025-12-25,6514,UNKNOWN,2,0.115,0.115,0.0,0.0,0.115,0.115,0.115,-0.0,-0.0,50,42
2025-12-25,6574,UNKNOWN,3,4.34,4.509,0.169,3.74,5.599,4.34,8.324,1.259,22.49,50,42
2025-12-25,6635,UNKNOWN,3,0.751,0.751,0.0,0.0,0.963,0.751,1.141,0.212,22.06,50,42
