date,vehicle_id,vehicle_type,stop_order,Mahalle,latitude,longitude,distance_from_prev_km
2025-12-24,1520,Crane Vehicle,2,Baris Mh.,40.21484690018117,28.96793964,19.319
2025-12-24,2424,Large Garbage Truck,1,Buyukbalikli Mh.,40.25153798696729,28.77348904965977,0.0
2025-12-24,2424,Large Garbage Truck,2,Gokce Mh.,40.24440138235362,28.799752338168982,2.366
2025-12-24,2424,Large Garbage Truck,3,Odunluk Mh.,40.19722207465857,28.993322841722343,17.252
2025-12-24,2424,Large Garbage Truck,4,Ozluce Mh.,40.238122995,28.90681038,8.64
2025-12-24,2424,Large Garbage Truck,5,Urunlu Mh.,40.20521165622157,28.87767648,4.417
2025-12-24,2679,Large Garbage Truck,1,Ertugrul Mh.,40.215869,28.922958,0.0
2025-12-24,2679,Large Garbage Truck,2,Isiktepe Mh.,40.227808005,28.959113464086524,3.344
2025-12-24,2824,Large Garbage Truck,1,Gorukle Mh.,40.230138960000005,28.843193880000005,0.0
2025-12-24,3286,Large Garbage Truck,1,19 Mayis Mh.,40.22815111103005,28.89571652797528,0.0
2025-12-24,3286,Large Garbage Truck,2,Konak Mh.,40.207302495,28.98297846,7.763
2025-12-24,4657,Crane Vehicle,1,Cali Mh.,40.169764264690606,28.9191425,0.0
2025-12-24,4657,Crane Vehicle,2,Ihsaniye Mh.,40.219369,28.985114000000003,7.863
2025-12-24,5012,Large Garbage Truck,1,Dumlupinar Mh.,40.223566485,28.8378875,0.0
2025-12-24,5012,Large Garbage Truck,2,Fethiye Mh.,40.23173064099735,28.974508696288748,11.634
2025-12-24,5333,Small Garbage Truck,1,Esentepe Mh.,40.22348698062251,28.99069352794343,0.0
2025-12-24,5333,Small Garbage Truck,2,Hasanaga Mh.,40.17018051,28.7936964,17.751
2025-12-24,5506,Large Garbage Truck,1,Esentepe Mh.,40.22348698062251,28.99069352794343,0.0
2025-12-24,5506,Large Garbage Truck,2,Esentepe Mh.,40.22348698062251,28.99069352794343,0.0
2025-12-24,6514,Small Garbage Truck,1,Esentepe Mh.,40.22348698062251,28.99069352794343,0.0
2025-12-24,6514,Small Garbage Truck,2,Gumustepe Mh.,40.188969221849966,28.969293,4.247
