date,vehicle_id,total_dist_km,total_idle_sec,total_stop_sec,first_ts,last_ts,odo_min,odo_max,records,odo_dist_km,work_duration_sec,total_idle_hr,total_stop_hr,work_duration_hr
2025-12-20,6881,99459.8,7357726.0,7357726.0,2025-12-20 00:07:04,2025-12-20 23:50:05,263337.26,263393.16,1208,55.899999999965075,85381.0,2043.8127777777777,2043.8127777777777,23.716944444444444
2025-12-20,7201,185441.1,3358633.0,3358633.0,2025-12-20 00:02:37,2025-12-20 23:56:29,2369.07,2439.84,1573,70.76999999999998,86032.0,932.9536111111111,932.9536111111111,23.897777777777776
2025-12-20,7224,32572.01,353530.0,384328.0,2025-12-20 10:55:10,2025-12-20 23:57:15,145059.48,145121.66,1079,62.179999999993015,46925.0,98.20277777777778,106.75777777777778,13.034722222222221
2025-12-20,7873,173946.31,30048.0,3680653.0,2025-12-20 00:05:27,2025-12-20 23:56:25,105475.7,105541.93,1767,66.22999999999593,85858.0,8.346666666666666,1022.4036111111111,23.849444444444444
2025-12-20,7912,151097.15,48852.0,1703676.0,2025-12-20 00:07:56,2025-12-20 23:59:37,79576.12,79642.73,1997,66.61000000000058,85901.0,13.57,473.24333333333334,23.86138888888889
2025-12-20,7924,645553.54,45622.0,1206818.0,2025-12-20 00:00:07,2025-12-20 23:59:10,180423.3,180559.13,2617,135.8300000000163,86343.0,12.672777777777778,335.2272222222222,23.984166666666667
2025-12-20,8359,202552.89,29789.0,3781787.0,2025-12-20 00:06:28,2025-12-20 23:55:40,118936.38,119022.48,1514,86.09999999999127,85752.0,8.274722222222222,1050.496388888889,23.82
2025-12-20,8527,352534.74,20790.0,3387219.0,2025-12-20 00:08:34,2025-12-20 23:57:26,174154.19,174211.39,1165,57.20000000001164,85732.0,5.775,940.8941666666667,23.814444444444444
2025-12-20,9279,463079.43,0.0,714646.0,2025-12-20 00:00:05,2025-12-20 23:51:49,95942.78,96076.35,2513,133.57000000000698,85904.0,0.0,198.51277777777779,23.862222222222222
2025-12-20,9785,115804.08,21873.0,2676989.0,2025-12-20 00:05:02,2025-12-20 23:57:22,173423.09,173502.61,1349,79.51999999998952,85940.0,6.075833333333334,743.6080555555556,23.872222222222224
2025-12-20,9928,291284.06,17453.0,2212019.0,2025-12-20 00:03:01,2025-12-20 23:59:19,47756.8,47865.47,1835,108.66999999999825,86178.0,4.848055555555556,614.4497222222222,23.938333333333333
2025-12-21,1106,292246.58,25197.0,3559213.0,2025-12-21 00:07:44,2025-12-21 23:55:10,169965.04,170011.6,1130,46.55999999999767,85646.0,6.9991666666666665,988.6702777777778,23.790555555555557
2025-12-21,1409,4.92,0.0,0.0,2025-12-21 00:07:48,2025-12-21 23:57:44,167401.58,167401.58,164,0.0,85796.0,0.0,0.0,23.83222222222222
2025-12-21,1434,105054.91,4545849.0,4545849.0,2025-12-21 00:01:57,2025-12-21 23:53:32,218060.29,218079.69,384,19.39999999999418,85895.0,1262.7358333333334,1262.7358333333334,23.85972222222222
2025-12-21,1488,76885.2,0.0,6395656.0,2025-12-21 00:09:13,2025-12-21 23:59:09,198910.72,198910.72,168,0.0,85796.0,0.0,1776.5711111111111,23.83222222222222
2025-12-21,1520,67910.40000000001,0.0,10160860.0,2025-12-21 00:01:15,2025-12-21 23:51:11,198877.7,198877.7,288,0.0,85796.0,0.0,2822.461111111111,23.83222222222222
2025-12-21,1711,258044.63999999998,0.0,55856305.0,2025-12-21 00:00:09,2025-12-21 23:59:04,366398.13,366398.13,1464,0.0,86335.0,0.0,15515.640277777778,23.981944444444444
2025-12-21,2291,246764.21,0.0,63008628.0,2025-12-21 00:00:59,2025-12-21 23:59:56,28267.1,28267.1,1463,0.0,86337.0,0.0,17502.396666666667,23.9825
2025-12-21,2424,15944.85,0.0,1362734.0,2025-12-21 00:03:11,2025-12-21 23:59:29,18616.71,18616.71,155,0.0,86178.0,0.0,378.5372222222222,23.938333333333333
2025-12-21,2519,12377.199999999999,980462.0,980462.0,2025-12-21 07:33:22,2025-12-21 23:51:35,25867.97,25867.97,97,0.0,58693.0,272.35055555555556,272.35055555555556,16.30361111111111
2025-12-21,2535,42281.04,390.0,6974529.0,2025-12-21 00:07:36,2025-12-21 23:57:33,98573.49,98573.49,172,0.0,85797.0,0.10833333333333334,1937.3691666666666,23.8325
2025-12-21,2584,41294.4,0.0,9053016.0,2025-12-21 00:04:11,2025-12-21 23:54:08,158802.66,158802.66,224,0.0,85797.0,0.0,2514.7266666666665,23.8325
2025-12-21,2674,228348.83,0.0,3716209.0,2025-12-21 00:07:19,2025-12-21 23:59:59,158191.6,158256.25,1421,64.64999999999418,85960.0,0.0,1032.2802777777779,23.877777777777776
2025-12-21,2679,20682.48,0.0,5804823.0,2025-12-21 00:05:38,2025-12-21 23:55:35,236735.23,236735.23,168,0.0,85797.0,0.0,1612.4508333333333,23.8325
2025-12-21,2824,178287.13,22416.0,1715769.0,2025-12-21 00:07:13,2025-12-21 23:59:18,98847.04,98897.42,1536,50.38000000000466,85925.0,6.226666666666667,476.6025,23.868055555555557
2025-12-21,3045,175619.98,13190.0,3904624.0,2025-12-21 00:03:15,2025-12-21 23:53:35,183329.66,183396.04,1207,66.38000000000466,85820.0,3.6638888888888888,1084.6177777777777,23.83888888888889
2025-12-21,3286,20300.05,436.0,6205030.0,2025-12-21 00:00:35,2025-12-21 23:57:47,203214.39,203214.39,185,0.0,86232.0,0.12111111111111111,1723.6194444444445,23.953333333333333
2025-12-21,3547,743658.02,39390.0,2461118.0,2025-12-21 00:05:25,2025-12-21 23:58:35,94634.75,94762.79,1983,128.0399999999936,85990.0,10.941666666666666,683.6438888888889,23.886111111111113
2025-12-21,3615,173347.85,27010.0,4753625.0,2025-12-21 00:04:51,2025-12-21 23:59:55,193737.4,193768.39,631,30.99000000001979,86104.0,7.502777777777778,1320.451388888889,23.91777777777778
2025-12-21,4257,1249388.5,39139.0,1185438.0,2025-12-21 00:04:37,2025-12-21 23:56:42,290309.36,290474.31,2891,164.95000000001164,85925.0,10.871944444444445,329.28833333333336,23.868055555555557
2025-12-21,4527,45877.83,361.0,6831651.0,2025-12-21 00:08:57,2025-12-21 23:50:16,161941.83,161944.61,319,2.779999999998836,85279.0,0.10027777777777777,1897.6808333333333,23.68861111111111
2025-12-21,4582,52920.0,0.0,10161026.0,2025-12-21 00:06:27,2025-12-21 23:56:24,269217.13,269217.13,288,0.0,85797.0,0.0,2822.507222222222,23.8325
2025-12-21,4657,16292.88,0.0,3537111.0,2025-12-21 00:03:23,2025-12-21 23:52:04,150816.15,150816.15,152,0.0,85721.0,0.0,982.5308333333334,23.81138888888889
