date,Mahalle,total_time_in_neigh_sec,total_dist_in_neigh_km,total_idle_in_neigh_sec,total_stop_in_neigh_sec,total_points,vehicles_served,total_time_in_neigh_hr,total_idle_in_neigh_hr,total_stop_in_neigh_hr
2025-12-21,Gümüştepe Mh.,1010.0,12018.47,670.0,704.0,90,1,0.28055555555555556,0.18611111111111112,0.19555555555555557
2025-12-21,Işıktepe Mh.,1272.0,20405.64,2636.0,2654.0,73,14,0.35333333333333333,0.7322222222222222,0.7372222222222222
2025-12-21,Işıktepe OSB Mh.,1505.0,67569.94,327.0,409.0,222,15,0.41805555555555557,0.09083333333333334,0.11361111111111111
2025-12-21,Karaman Mh.,2437.0,39502.17,543.0,3907.0,129,6,0.6769444444444445,0.15083333333333335,1.0852777777777778
2025-12-21,Kayapa Mh.,9.0,246.16,147.0,147.0,1,1,0.0025,0.04083333333333333,0.04083333333333333
2025-12-21,Konak Mh.,12640.0,147599.55,21381.0,22264.0,477,7,3.511111111111111,5.939166666666667,6.184444444444445
2025-12-21,Kurtuluş Mh.,10115.0,96694.02,8616.0,8724.0,471,4,2.8097222222222222,2.3933333333333335,2.4233333333333333
2025-12-21,Kültür Mh.,952.0,17945.74,254.0,517.0,69,4,0.2644444444444444,0.07055555555555555,0.1436111111111111
2025-12-21,Kızılcıklı Mh.,767.0,10252.99,1164.0,1164.0,45,1,0.21305555555555555,0.3233333333333333,0.3233333333333333
2025-12-21,Minareliçavuş Bursa OSB Mh.,402.0,16620.54,0.0,0.0,55,15,0.11166666666666666,0.0,0.0
2025-12-21,Minareliçavuş Mh.,248.0,5958.780000000001,83.0,83.0,24,3,0.06888888888888889,0.023055555555555555,0.023055555555555555
2025-12-21,Minareliçavuş OSB Mh.,220.0,6212.59,26.0,26.0,25,2,0.06111111111111111,0.007222222222222222,0.007222222222222222
2025-12-21,Nilüferköy Mh.,1536.0,107255.98,0.0,0.0,340,14,0.4266666666666667,0.0,0.0
2025-12-21,Odunluk Mh.,5797.0,41672.899999999994,3902.0,10651.0,246,3,1.6102777777777777,1.083888888888889,2.9586111111111113
2025-12-21,Yapı Kredi Bankası ATM - Bursa Görükle Çek Mahallesi,22.0,704.55,31.0,31.0,3,2,0.006111111111111111,0.008611111111111111,0.008611111111111111
2025-12-21,Yapı Kredi Bankası ATM - Nilüfer Çalı Mahallesi,15.0,717.9000000000001,0.0,10.0,2,2,0.004166666666666667,0.0,0.002777777777777778
2025-12-21,Yaylacık Mh.,80.0,3391.08,0.0,0.0,9,3,0.022222222222222223,0.0,0.0
2025-12-21,Yenikent Mh.,18463.0,511144.49,7386.0,9077.0,1681,15,5.128611111111111,2.0516666666666667,2.5213888888888887
2025-12-21,Yolçatı Mh.,1180.0,36690.68,0.0,0.0,118,8,0.3277777777777778,0.0,0.0
2025-12-21,Yüzüncüyıl Mh.,954.0,29321.12,0.0,272.0,102,11,0.265,0.0,0.07555555555555556
2025-12-21,Çalı Mh.,14004.0,237612.04,12579.0,14883.0,610,2,3.89,3.4941666666666666,4.134166666666666
2025-12-21,Çamlıca Mh.,1496.0,24710.74,2215.0,2847.0,83,3,0.41555555555555557,0.6152777777777778,0.7908333333333334
2025-12-21,Özlüce Mh.,665.0,9532.19,382.0,382.0,56,1,0.18472222222222223,0.10611111111111111,0.10611111111111111
2025-12-21,Ürünlü Mh.,259.0,11277.92,0.0,0.0,30,3,0.07194444444444445,0.0,0.0
2025-12-21,Üçevler Mh.,101663.0,512926.09,25879.0,12311474.0,2004,18,28.239722222222223,7.188611111111111,3419.853888888889
2025-12-21,İhsaniye Mh.,14455.0,167158.46,22476.0,24195.0,597,9,4.0152777777777775,6.243333333333333,6.720833333333333
2025-12-21,İrfaniye Mh.,86.0,2238.9700000000003,29.0,29.0,10,1,0.02388888888888889,0.008055555555555555,0.008055555555555555
2025-12-22,19 Mayıs Mh.,26623.0,360378.4,25387.0,25387.0,1699,5,7.395277777777777,7.051944444444445,7.051944444444445
2025-12-22,23 Nisan Mh.,11374.0,401504.14999999997,8318.0,8343.0,1420,39,3.1594444444444445,2.3105555555555557,2.3175
2025-12-22,29 Ekim Mh.,17981.0,371546.27,14522.0,17636.0,1090,19,4.994722222222222,4.033888888888889,4.898888888888889
2025-12-22,30 Ağustos Zafer Mh.,37261.0,415229.67,36076.0,36076.0,1532,9,10.350277777777778,10.02111111111111,10.02111111111111
2025-12-22,Ahmet Yesevi Mh.,12622.0,406711.33,7482.0,7482.0,1560,41,3.506111111111111,2.078333333333333,2.078333333333333
2025-12-22,Akçalar Mh.,18705.0,443737.12,16532.0,18111.0,1082,2,5.195833333333334,4.592222222222222,5.030833333333334
