date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency
2025-12-24,Çarşamba,İRFANİYE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,KADRİYE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,KARACAOBA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,KARAMAN MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,KAYAPA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,KONAK MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-24,Çarşamba,KONAKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ODUNLUK MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÖZLÜCE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,TAHTALI MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÜÇEVLER MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÜÇEVLER MAHALLESİ,0,Small Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÜÇPINAR MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,ÜRÜNLÜ MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-24,Çarşamba,YAYLACIK MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday"
2025-12-25,Perşembe,23 NİSAN MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,AHMET YESEVİ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,ALTINŞEHİR MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,ATAEVLER MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,AYVAKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,BALAT MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,BALKAN MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,BEŞEVLER MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,ÇAMLICA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,DAĞYENİCE MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,DEMİRCİ MAHALLESİ,1,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,DOĞANKÖY MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,DUMLUPINAR MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
