date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency,Mahalle_norm,demand_score
2025-12-24,Çarşamba,ESENTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",ESENTEPE,0.5986364207955122
2025-12-24,Çarşamba,FETHİYE MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",FETHIYE,0.5132512884057444
2025-12-24,Çarşamba,GÖKÇE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",GOKCE,0.11838496009773312
2025-12-24,Çarşamba,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday",GORUKLE,1.0
2025-12-24,Çarşamba,GÜMÜŞTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",GUMUSTEPE,0.27427760037583737
2025-12-24,Çarşamba,HASANAĞA MAHALLESİ,0,Small Garbage Truck,3.0,"Monday, Wednesday, Friday",HASANAGA,0.1376963364062833
2025-12-24,Çarşamba,IŞIKTEPE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",ISIKTEPE,0.39047096601015335
2025-12-24,Çarşamba,İHSANİYE MAHALLESİ,1,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",IHSANIYE,0.5410099752796164
2025-12-24,Çarşamba,İNEGAZİ MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",INEGAZI,0.03765570434723745
2025-12-24,Çarşamba,İRFANİYE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",IRFANIYE,0.09771763691625171
2025-12-24,Çarşamba,KADRİYE MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",KADRIYE,0.03335071267037689
2025-12-24,Çarşamba,KARACAOBA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",KARACAOBA,0.09213110284032669
2025-12-24,Çarşamba,KARAMAN MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",KARAMAN,0.21340974361454768
2025-12-24,Çarşamba,KAYAPA MAHALLESİ,0,Large Garbage Truck,3.0,"Monday, Wednesday, Friday",KAYAPA,0.2195420473092252
2025-12-24,Çarşamba,KONAK MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday",KONAK,0.46872895151761734
